playerDeck,opponentDeck,muWin,muGames,muWR
Ahri/Akshan,Aphelios/Viktor,6,11,0.545454545454545
Ahri/Akshan,Fizz/Lulu (BC/PZ),3,17,0.176470588235294
Ahri/Akshan,Riven/Viktor,5,19,0.263157894736842
Ahri/Akshan,SunDisc,18,48,0.375
Ahri/Akshan,Taliyah/Ziggs,4,14,0.285714285714286
Ahri/Akshan,Tri-Beam (NX/PZ),4,14,0.285714285714286
Ahri/Katarina,SunDisc,7,14,0.5
Ahri/Katarina/Kennen (IO/NX),SunDisc,8,14,0.571428571428571
Ahri/Kennen,Riven/Viktor,3,10,0.3
Ahri/Kennen,SunDisc,12,27,0.444444444444444
Ahri/Kennen,Tri-Beam (NX/PZ),6,12,0.5
Ahri/Kennen (BW/IO),Riven/Viktor,7,12,0.583333333333333
Ahri/Kennen (BW/IO),SunDisc,19,46,0.41304347826087
Ahri/Kennen (IO/SH),Aphelios/Viktor,14,24,0.583333333333333
Ahri/Kennen (IO/SH),Aurelion Sol/Zoe (FR/MT),15,33,0.454545454545455
Ahri/Kennen (IO/SH),Azir/Irelia,12,27,0.444444444444444
Ahri/Kennen (IO/SH),Caitlyn/Teemo (BC/PZ),8,18,0.444444444444444
Ahri/Kennen (IO/SH),Darius/Gnar (FR/NX),2,11,0.181818181818182
Ahri/Kennen (IO/SH),Ekko/Zilean,3,11,0.272727272727273
Ahri/Kennen (IO/SH),Elise (NX/SI),4,13,0.307692307692308
Ahri/Kennen (IO/SH),Fizz/Lulu (BC/PZ),9,16,0.5625
Ahri/Kennen (IO/SH),Gangplank/Miss Fortune/Twisted Fate (BW/NX),2,18,0.111111111111111
Ahri/Kennen (IO/SH),Kindred/Viego (IO/SI),6,10,0.6
Ahri/Kennen (IO/SH),Miss Fortune/Quinn,7,22,0.318181818181818
Ahri/Kennen (IO/SH),Pantheon/Yuumi (DE/MT),14,17,0.823529411764706
Ahri/Kennen (IO/SH),Pyke/Rek'Sai,6,16,0.375
Ahri/Kennen (IO/SH),Riven/Viktor,30,75,0.4
Ahri/Kennen (IO/SH),Senna/Veigar,7,18,0.388888888888889
Ahri/Kennen (IO/SH),SunDisc,82,136,0.602941176470588
Ahri/Kennen (IO/SH),Taliyah/Ziggs,10,18,0.555555555555556
Ahri/Kennen (IO/SH),Tri-Beam (NX/PZ),20,59,0.338983050847458
Ahri/Kennen (IO/SH),Trundle/Tryndamere (FR/SI),8,19,0.421052631578947
Ahri/Kennen (IO/SH),Vi/Viktor (PZ/SI),7,15,0.466666666666667
Ahri/Kennen (IO/SI),Aphelios/Viktor,3,11,0.272727272727273
Ahri/Kennen (IO/SI),Aurelion Sol/Zoe (FR/MT),3,12,0.25
Ahri/Kennen (IO/SI),Ekko/Zilean,4,13,0.307692307692308
Ahri/Kennen (IO/SI),Fizz/Lulu (BC/PZ),2,12,0.166666666666667
Ahri/Kennen (IO/SI),Miss Fortune/Quinn,6,22,0.272727272727273
Ahri/Kennen (IO/SI),Pantheon/Yuumi (DE/MT),8,14,0.571428571428571
