time,archetype_1,n,freq
2023-11-08T18:00:00Z,Other,1119,0.849013657056146
2023-11-08T18:00:00Z,Jayce/Lux (DE/PZ),7,0.00531107738998483
2023-11-08T18:00:00Z,Aphelios/Viktor (MT/PZ),5,0.00379362670713202
2023-11-08T18:00:00Z,Ryze (IO/RU),19,0.0144157814871017
2023-11-08T18:00:00Z,Annie/Jhin (RU/NX),26,0.0197268588770865
2023-11-08T18:00:00Z,Nasus/Thresh (SI/SH),16,0.0121396054628225
2023-11-08T18:00:00Z,Aurelion Sol/Volibear (FR/MT),3,0.00227617602427921
2023-11-08T18:00:00Z,Gangplank/Sejuani (BW/FR),9,0.00682852807283763
2023-11-08T18:00:00Z,Elise (FR/SI),2,0.00151745068285281
2023-11-08T18:00:00Z,Ezreal/Seraphine (BC/PZ),8,0.00606980273141123
2023-11-08T18:00:00Z,Azir/Irelia (IO/SH),24,0.0182094081942337
2023-11-08T18:00:00Z,Nilah/Twisted Fate (BW/PZ),80,0.0606980273141123
2023-11-08T18:00:00Z,Trundle/Volibear (FR/SI),0,0
2023-11-08T19:00:00Z,Other,1423,0.834114888628371
2023-11-08T19:00:00Z,Jayce/Lux (DE/PZ),12,0.00703399765533412
2023-11-08T19:00:00Z,Aphelios/Viktor (MT/PZ),9,0.00527549824150059
2023-11-08T19:00:00Z,Ryze (IO/RU),20,0.0117233294255569
2023-11-08T19:00:00Z,Annie/Jhin (RU/NX),41,0.0240328253223916
2023-11-08T19:00:00Z,Nasus/Thresh (SI/SH),7,0.0041031652989449
2023-11-08T19:00:00Z,Aurelion Sol/Volibear (FR/MT),7,0.0041031652989449
2023-11-08T19:00:00Z,Gangplank/Sejuani (BW/FR),5,0.00293083235638921
2023-11-08T19:00:00Z,Elise (FR/SI),15,0.00879249706916764
2023-11-08T19:00:00Z,Ezreal/Seraphine (BC/PZ),24,0.0140679953106682
2023-11-08T19:00:00Z,Azir/Irelia (IO/SH),34,0.0199296600234467
2023-11-08T19:00:00Z,Nilah/Twisted Fate (BW/PZ),109,0.0638921453692849
2023-11-08T19:00:00Z,Trundle/Volibear (FR/SI),0,0
2023-11-08T20:00:00Z,Other,1156,0.753585397653194
2023-11-08T20:00:00Z,Jayce/Lux (DE/PZ),9,0.00586701434159061
2023-11-08T20:00:00Z,Aphelios/Viktor (MT/PZ),6,0.00391134289439374
2023-11-08T20:00:00Z,Ryze (IO/RU),31,0.0202086049543677
2023-11-08T20:00:00Z,Annie/Jhin (RU/NX),23,0.014993481095176
